tolerance,adaptive_evals,adaptive_error,fixed_evals,fixed_error
0.01,285,0.014411284701566274,285,144.19656948344303
0.0001,633,0.00022655982905916972,633,72.2049378241629
1e-06,1593,4.124610200051393e-07,1593,12.938790759937206
1e-08,4197,1.6289050108753145e-09,4197,0.2834821116325088
